source_page,source_column,source_store_area_sqm,source_open_year,source_open_month,source_name,corrected_name,corrected_prefecture,corrected_municipality,corrected_open_year,corrected_open_month,address,notes
19,right,5141.0,1979.0,7.0,,庄原ショッピングセンター ジョイフルnagae,広島県,庄原市,1979.0,7.0,広島県庄原市西本町2丁目19-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
9,left,7234.0,2020.0,3.0,,SOCOLA若葉台(ソコラ若葉台),東京都,稲城市,2020.0,3.0,東京都稲城市坂浜4丁目25-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
3,left,7153.0,2012.0,10.0,,ヨークタウン上山,山形県,上山市,2012.0,10.0,山形県上山市仙石字梅ノ木780-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
16,left,6850.0,1995.0,10.0,,ディアモール大阪,大阪府,大阪市北区,1995.0,10.0,大阪府大阪市北区梅田1丁目 大阪駅前ダイヤモンド地下街1号,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
11,left,7392.0,2015.0,4.0,,ラスパ白山,石川県,白山市,2015.0,4.0,石川県白山市倉光5丁目14,google_maps_partial_name_match_preferred; corrected_ocr_name_ラスバ_to_ラスパ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
12,left,6751.0,2012.0,11.0,,フレスポ飛騨高山,岐阜県,高山市,2012.0,11.0,岐阜県高山市天満町1-5-8,google_maps_partial_name_match_preferred; corrected_ocr_name_to_フレスポ飛騨高山; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
14,right,6429.0,2015.0,9.0,,マックスバリュ津北店,三重県,津市,2015.0,9.0,三重県津市一身田上津部田125-1,google_maps_partial_name_match_preferred; corrected_ocr_name_パリュ_to_バリュ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
22,right,6647.0,1981.0,5.0,,トキハインダストリー三重店,大分県,豊後大野市,1981.0,5.0,大分県豊後大野市三重町市場447-1,google_maps_partial_name_match_preferred; corrected_ocr_name_三亜_to_三重; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
13,right,6559.0,2003.0,6.0,,ピアゴパワー妙興寺店,愛知県,一宮市,2003.0,6.0,愛知県一宮市大和町妙興寺字白山西3-2,google_maps_partial_name_match_preferred; corrected_ocr_name_ビアゴ_to_ピアゴ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
20,left,6542.0,2024.0,4.0,,TOKUYAMA DECK(徳山デッキ),山口県,周南市,2024.0,4.0,山口県周南市銀座1丁目31,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
20,right,6447.0,2010.0,4.0,,香椎フェスティバルガーデン,福岡県,福岡市東区,2010.0,4.0,福岡県福岡市東区香椎団地1-2,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
