match_key,name,prefecture,municipality,address,lat,lon,source_url,source_type,confidence,verified_at,notes
,SAKURA MACHI Kumamoto,熊本県,熊本市中央区,"SAKURA MACHI Kumamoto, 10, 桜町, 中央区, 熊本市, 熊本県, 860-0805, 日本",32.8000972,130.7040507,https://nominatim.openstreetmap.org/search?q=SAKURA+MACHI+Kumamoto+%E7%86%8A%E6%9C%AC%E7%9C%8C+%E7%86%8A%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:SAKURA MACHI Kumamoto;query:SAKURA MACHI Kumamoto 熊本県 熊本市中央区
,エコール・いずみ,大阪府,和泉市,"エコール・いずみ, 14, 和泉市, 大阪府, 594-0041, 日本",34.4602950,135.4564410,https://nominatim.openstreetmap.org/search?q=%E3%82%A8%E3%82%B3%E3%83%BC%E3%83%AB%E3%83%BB%E3%81%84%E3%81%9A%E3%81%BF+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E5%92%8C%E6%B3%89%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:エコール・いずみ;query:エコール・いずみ 大阪府 和泉市
,イオン新潟青山ショッピングセンター,新潟県,新潟市西区,"イオン新潟青山ショッピングセンター, 1, 西区, 新潟市, 新潟県, 950-2002, 日本",37.8962374,139.0048494,https://nominatim.openstreetmap.org/search?q=%E3%82%A4%E3%82%AA%E3%83%B3%E6%96%B0%E6%BD%9F%E9%9D%92%E5%B1%B1%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E6%96%B0%E6%BD%9F%E7%9C%8C+%E6%96%B0%E6%BD%9F%E5%B8%82%E8%A5%BF%E5%8C%BA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:イオン新潟青山ショッピングセンター;query:イオン新潟青山ショッピングセンター 新潟県 新潟市西区
,大 分県 あけのアクロスタウン,大分県,大分市,"あけのアクロスタウン, 大分臼杵線, 希望が丘二丁目, 大字西明野, 大分市, 大分県, 870-8504, 日本",33.2230000,131.6521800,https://nominatim.openstreetmap.org/search?q=%E5%A4%A7+%E5%88%86%E7%9C%8C+%E3%81%82%E3%81%91%E3%81%AE%E3%82%A2%E3%82%AF%E3%83%AD%E3%82%B9%E3%82%BF%E3%82%A6%E3%83%B3&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:あけのアクロスタウン;query:大 分県 あけのアクロスタウン
,ミウィ橋本,神奈川県,相模原市緑区,"ミウィ橋本, 杜のプラザ, 橋本三丁目, 橋本, 緑区, 相模原市, 神奈川県, 252-0143, 日本",35.5950189,139.3458406,https://nominatim.openstreetmap.org/search?q=%E3%83%9F%E3%82%A6%E3%82%A3%E6%A9%8B%E6%9C%AC+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:ミウィ橋本;query:ミウィ橋本 神奈川県
,新百合ヶ丘エルミロード,神奈川県,川崎市麻生区,"新百合ヶ丘エルミロード (Shin Yurigaoka L-Mylord), タクシープール, 上麻生一丁目, 上麻生, 麻生区, 川崎市, 神奈川県, 215-0021, 日本",35.6031430,139.5091848,https://nominatim.openstreetmap.org/search?q=%E6%96%B0%E7%99%BE%E5%90%88%E3%83%B6%E4%B8%98%E3%82%A8%E3%83%AB%E3%83%9F%E3%83%AD%E3%83%BC%E3%83%89+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C+%E5%B7%9D%E5%B4%8E%E5%B8%82%E9%BA%BB%E7%94%9F%E5%8C%BA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:新百合ヶ丘エルミロード (Shin Yurigaoka L-Mylord);query:新百合ヶ丘エルミロード 神奈川県 川崎市麻生区
,プラーレ松戸,千葉県,松戸市,"プラーレ松戸, 松戸駅東西自由通路, 本町, 松戸市, 千葉県, 271-8588, 日本",35.7834514,139.9022390,https://nominatim.openstreetmap.org/search?q=%E3%83%97%E3%83%A9%E3%83%BC%E3%83%AC%E6%9D%BE%E6%88%B8+%E5%8D%83%E8%91%89%E7%9C%8C+%E6%9D%BE%E6%88%B8%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:プラーレ松戸;query:プラーレ松戸 千葉県 松戸市
,ふかや花園プレミアム・アウトレット,埼玉県,深谷市,"ふかや花園プレミアム・アウトレット, 花園, 黒田, 深谷市, 埼玉県, 369-1244, 日本",36.1331579,139.2489217,https://nominatim.openstreetmap.org/search?q=%E3%81%B5%E3%81%8B%E3%82%84%E8%8A%B1%E5%9C%92%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E3%83%BB%E3%82%A2%E3%82%A6%E3%83%88%E3%83%AC%E3%83%83%E3%83%88+%E5%9F%BC%E7%8E%89%E7%9C%8C+%E6%B7%B1%E8%B0%B7%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:ふかや花園プレミアム・アウトレット;query:ふかや花園プレミアム・アウトレット 埼玉県 深谷市
,アリオ市原,千葉県,市原市,"アリオ市原, 上総大路, 四丁目, 更級, 市原市, 千葉県, 290-0050, 日本",35.5082618,140.1013226,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%83%AA%E3%82%AA%E5%B8%82%E5%8E%9F+%E5%8D%83%E8%91%89%E7%9C%8C+%E5%B8%82%E5%8E%9F%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:アリオ市原;query:アリオ市原 千葉県 市原市
,みらい長崎ココウォーク,長崎県,長崎市,"みらい長崎ココウォーク, 国道206号, 坂本一丁目, 目覚町, 長崎市, 長崎県, 850-8685, 日本",32.7622067,129.8648277,https://nominatim.openstreetmap.org/search?q=%E3%81%BF%E3%82%89%E3%81%84%E9%95%B7%E5%B4%8E%E3%82%B3%E3%82%B3%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%AF+%E9%95%B7%E5%B4%8E%E7%9C%8C+%E9%95%B7%E5%B4%8E%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:みらい長崎ココウォーク;query:みらい長崎ココウォーク 長崎県 長崎市
