source,source_url,page,column,prefecture,municipality,district,name,store_area_raw,store_area_sqm,open_date_raw,open_year,open_month,ocr_confidence_avg,parse_warnings,match_key,lat,lon,address,coordinate_source,coordinate_confidence,coordinate_source_url,coordinate_notes,query,candidate_status,candidate_name,candidate_display_name,candidate_lat,candidate_lon,candidate_url,unresolved_reason
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,11,right,山梨県,南アルプス市,,南アルプスガーデンショッピングセンター,"6,663",6663.0,2004年4月,2004.0,4.0,1.0,,山梨県|南アルプスガーデンショッピングセンター,35.61982817910447,138.45836279104478,,municipality_representative,low,,,南アルプスガーデンショッピングセンター 山梨県 南アルプス市 / 南アルプスガーデンショッピングセンター 山梨県 / 南アルプスガーデンショッピングセンター,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E5%8D%97%E3%82%A2%E3%83%AB%E3%83%97%E3%82%B9%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,5,left,埼玉県,草加市,,モールプラザ,6.661,6661.0,2006年11月,2006.0,11.0,1.0,prefecture_inferred_from_municipality,埼玉県|モールプラザ,35.83825174789916,139.80054673109242,,municipality_representative,low,,,モールプラザ 埼玉県 草加市 / モールプラザ 埼玉県 / モールプラザ,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%A2%E3%83%BC%E3%83%AB%E3%83%97%E3%83%A9%E3%82%B6&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,14,left,愛知県,尾張旭市,,ピアゴ印場店,6.661,6661.0,1999年3月,1999.0,3.0,0.7667,prefecture_inferred_from_municipality,愛知県|ピアゴ印場店,35.21213097826087,137.0335039619565,,municipality_representative,low,,,ピアゴ印場店 愛知県 尾張旭市 / ピアゴ印場店 愛知県 / ピアゴ印場店,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%94%E3%82%A2%E3%82%B4%E5%8D%B0%E5%A0%B4%E5%BA%97&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,22,right,大分県,豊後大野市,,トキハインダストリー三亜店,"6,647",6647.0,1981年5月,1981.0,5.0,0.875,prefecture_inferred_from_municipality,大分県|トキハインダストリー三亜店,32.990242335820895,131.52024204477613,,municipality_representative,low,,,トキハインダストリー三亜店 大分県 豊後大野市 / トキハインダストリー三亜店 大分県 / トキハインダストリー三亜店,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%88%E3%82%AD%E3%83%8F%E3%82%A4%E3%83%B3%E3%83%80%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E4%B8%89%E4%BA%9C%E5%BA%97&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,5,left,群馬県,高崎市,,マミーマート所沢山口店,6.636,6636.0,2004年12月,2004.0,12.0,0.8333,prefecture_inferred_from_municipality,群馬県|マミーマート所沢山口店,36.33529675464684,138.9949314832714,,municipality_representative,low,,,マミーマート所沢山口店 群馬県 高崎市 / マミーマート所沢山口店 群馬県 / マミーマート所沢山口店,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%9E%E3%83%9F%E3%83%BC%E3%83%9E%E3%83%BC%E3%83%88%E6%89%80%E6%B2%A2%E5%B1%B1%E5%8F%A3%E5%BA%97&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,10,right,富山県,富山市,,CiC (シック),6.634,6634.0,1992年3月,1992.0,3.0,0.8333,,富山県|cicシック,36.6594965053681,137.20881503527607,,municipality_representative,low,,,CiC (シック) 富山県 富山市 / CiC (シック) 富山県 / CiC (シック),unresolved,,,,,https://nominatim.openstreetmap.org/search?q=CiC+%28%E3%82%B7%E3%83%83%E3%82%AF%29&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,22,left,熊本県,山鹿市,,ゆめマート東山鹿,6.615,6615.0,1996年11月,1996.0,11.0,0.8333,prefecture_inferred_from_municipality,熊本県|ゆめマート東山鹿,33.01800738461539,130.7126028131868,,municipality_representative,low,,,ゆめマート東山鹿 熊本県 山鹿市 / ゆめマート東山鹿 熊本県 / ゆめマート東山鹿,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%82%86%E3%82%81%E3%83%9E%E3%83%BC%E3%83%88%E6%9D%B1%E5%B1%B1%E9%B9%BF&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,13,left,静岡県,静岡市葵区,北区,CROSS TOWN (MEGAドン・キホーテ名古屋本店),"6,600",6600.0,2008年3月,2008.0,3.0,1.0,prefecture_inferred_from_municipality,静岡県|crosstownmegaドンキホーテ名古屋本店,35.00736196509009,138.41285507657656,,municipality_representative,low,,,CROSS TOWN (MEGAドン・キホーテ名古屋本店) 静岡県 静岡市葵区 / CROSS TOWN (MEGAドン・キホーテ名古屋本店) 静岡県 / CROSS TOWN (MEGAドン・キホーテ名古屋本店),unresolved,,,,,https://nominatim.openstreetmap.org/search?q=CROSS+TOWN+%28MEGA%E3%83%89%E3%83%B3%E3%83%BB%E3%82%AD%E3%83%9B%E3%83%BC%E3%83%86%E5%90%8D%E5%8F%A4%E5%B1%8B%E6%9C%AC%E5%BA%97%29&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,21,right,長崎県,長崎市,,滑石ショッピングセンター,6.596,6596.0,1973年7月,1973.0,7.0,0.875,,長崎県|滑石ショッピングセンター,32.758114,129.85546771399177,,municipality_representative,low,,,滑石ショッピングセンター 長崎県 長崎市,added,滑石ショッピングセンター,"滑石ショッピングセンター, 大井手橋３, 滑石三丁目, 大園町, 長崎市, 長崎県, 850-8685, 日本",32.8068063,129.8363731,https://nominatim.openstreetmap.org/search?q=%E6%BB%91%E7%9F%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E9%95%B7%E5%B4%8E%E7%9C%8C+%E9%95%B7%E5%B4%8E%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,13,right,愛知県,岡崎市,,ピアゴ洞店,"6,594",6594.0,1996年11月,1996.0,11.0,0.7667,,愛知県|ピアゴ洞店,34.943625585006274,137.18850034567126,,municipality_representative,low,,,ピアゴ洞店 愛知県 岡崎市,added,ピアゴ洞店,"ピアゴ洞店, 伝馬町線, 洞町, 岡崎市, 愛知県, 444-0007, 日本",34.9484959,137.1907727,https://nominatim.openstreetmap.org/search?q=%E3%83%94%E3%82%A2%E3%82%B4%E6%B4%9E%E5%BA%97+%E6%84%9B%E7%9F%A5%E7%9C%8C+%E5%B2%A1%E5%B4%8E%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,
